1,"Young Forever: The Secrets to Living Your Longest, Healthiest Life",Dr. Mark Hyman MD,$22.84
2,"Things We Hide from the Light (Knockemout Series, 2)",Lucy Score,$13.53
3,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,$14.11
4,It Starts with Us: A Novel (2) (It Ends with Us),Colleen Hoover,$10.49
5,My Little Golden Book About Dolly Parton,Deborah Hopkinson,$0.98
6,It Ends with Us: A Novel (1),Colleen Hoover,$9.99
7,Lessons in Chemistry: A Novel,Bonnie Garmus,$18.26
8,Stone Maidens,Lloyd Devereux Richards,$8.97
9,All My Knotted-Up Life: A Memoir,Beth Moore,$23.99
10,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,$11.40
11,The 48 Laws of Power,Robert Greene,$13.59
12,It's OK to Be Angry About Capitalism,Senator Bernie Sanders,$22.40
13,Verity,Colleen Hoover,$10.98
14,Taylor Swift: A Little Golden Book Biography,Wendy Loggia,$5.99
15,The Mysteries,Bill Watterson,$17.99
16,Flash Cards: Sight Words,Scholastic Teacher Resources,$2.88
17,I Love You to the Moon and Back,Amelia Hepworth,$4.76
18,Things We Never Got Over (Knockemout),Lucy Score,$10.94
19,The Seven Husbands of Evelyn Hugo: A Novel,Taylor Jenkins Reid,$9.42
20,The Very Hungry Caterpillar,Eric Carle,$6.56
21,"8 Rules of Love: How to Find It, Keep It, and Let It Go",Jay Shetty,$17.74
22,"Tomorrow, and Tomorrow, and Tomorrow: A novel",Gabrielle Zevin,$15.49
23,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,$7.74
24,Dog Man: Twenty Thousand Fleas Under the Sea: A Graphic Novel (Dog Man #11): From the Creator of Captain Underpants,Dav Pilkey,$11.58
25,The Creative Act: A Way of Being,Rick Rubin,$24.38
26,The Housemaid's Secret: A totally gripping psychological thriller with a shocking twist,Freida McFadden,$10.99
27,Daisy Jones & The Six: A Novel,Taylor Jenkins Reid,$10.16
28,How to Catch a Leprechaun,Adam Wallace,$8.01
29,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,$4.69
30,Baking Yesteryear: The Best Recipes from the 1900s to the 1980s,B. Dylan Hollis,$25.34
